dq_id,load_id,source_name,source_table,source_record_id,business_key,rule_id,field_name,severity,action,original_value,clean_value,details,detected_at
2893,3,Customer.csv,raw.customer_csv,4,C00004,FMT_GENDER,gender,info,normalized,MALE,M,,2026-09-25 00:16:29.692367+00:00
2894,3,Customer.csv,raw.customer_csv,4,C00004,FMT_POSTAL,postal_code,info,normalized,b2a9a8,B2A 9A8,,2026-09-25 00:16:29.692367+00:00
2895,3,Customer.csv,raw.customer_csv,4,C00004,FMT_PHONE,phone,info,normalized,(782) 555-9659,+17825559659,,2026-09-25 00:16:29.692367+00:00
2896,3,Customer.csv,raw.customer_csv,4,C00004,FMT_TEXT_WHITESPACE,first_name,info,normalized,DYLAN ,Dylan,,2026-09-25 00:16:29.692367+00:00
2897,3,Customer.csv,raw.customer_csv,23,C00023,FMT_DATE,customer_since,info,normalized,10/03/2015,2015-03-10,,2026-09-25 00:16:29.692367+00:00
2898,3,Customer.csv,raw.customer_csv,23,C00023,FMT_POSTAL,postal_code,info,normalized,s7a6a3,S7A 6A3,,2026-09-25 00:16:29.692367+00:00
2899,3,Customer.csv,raw.customer_csv,23,C00023,FMT_PHONE,phone,info,normalized,(474) 555-3917,+14745553917,,2026-09-25 00:16:29.692367+00:00
2900,3,Customer.csv,raw.customer_csv,25,C00025,FMT_PROVINCE,province,info,repaired,,MB,,2026-09-25 00:16:29.692367+00:00
2901,3,Customer.csv,raw.customer_csv,26,C00026,FMT_PROVINCE,province,info,repaired,,SK,,2026-09-25 00:16:29.692367+00:00
2902,3,Customer.csv,raw.customer_csv,30,C00030,FMT_GENDER,gender,info,normalized,Female,F,,2026-09-25 00:16:29.692367+00:00
2903,3,Customer.csv,raw.customer_csv,30,C00030,FMT_PROVINCE,province,info,normalized,man.,MB,,2026-09-25 00:16:29.692367+00:00
2904,3,Customer.csv,raw.customer_csv,30,C00030,FMT_POSTAL,postal_code,info,normalized,r2a6a5,R2A 6A5,,2026-09-25 00:16:29.692367+00:00
2905,3,Customer.csv,raw.customer_csv,30,C00030,FMT_PHONE,phone,info,normalized,(204) 555-3843,+12045553843,,2026-09-25 00:16:29.692367+00:00
2906,3,Customer.csv,raw.customer_csv,40,C00040,FMT_PROVINCE,province,info,normalized,Ontario,ON,,2026-09-25 00:16:29.692367+00:00
2907,3,Customer.csv,raw.customer_csv,40,C00040,FMT_POSTAL,postal_code,info,normalized,m4a8a1,M4A 8A1,,2026-09-25 00:16:29.692367+00:00
2908,3,Customer.csv,raw.customer_csv,40,C00040,FMT_PHONE,phone,info,normalized,(613) 555-3465,+16135553465,,2026-09-25 00:16:29.692367+00:00
2909,3,Customer.csv,raw.customer_csv,55,C00055,FMT_GENDER,gender,info,normalized,MALE,M,,2026-09-25 00:16:29.692367+00:00
2910,3,Customer.csv,raw.customer_csv,55,C00055,FMT_PROVINCE,province,info,normalized,Ontario,ON,,2026-09-25 00:16:29.692367+00:00
2911,3,Customer.csv,raw.customer_csv,55,C00055,FMT_TEXT_WHITESPACE,first_name,info,normalized,MEGAN ,Megan,,2026-09-25 00:16:29.692367+00:00
2912,3,Customer.csv,raw.customer_csv,67,C00067,FMT_DATE,date_of_birth,info,normalized,20/02/2007,2007-02-20,,2026-09-25 00:16:29.692367+00:00
2913,3,Customer.csv,raw.customer_csv,67,C00067,FMT_GENDER,gender,info,normalized,MALE,M,,2026-09-25 00:16:29.692367+00:00
2914,3,Customer.csv,raw.customer_csv,68,C00068,FMT_GENDER,gender,info,normalized,Female,F,,2026-09-25 00:16:29.692367+00:00
2915,3,Customer.csv,raw.customer_csv,68,C00068,FMT_PROVINCE,province,info,normalized,man.,MB,,2026-09-25 00:16:29.692367+00:00
2916,3,Customer.csv,raw.customer_csv,68,C00068,FMT_PHONE,phone,info,normalized,(431) 555-2692,+14315552692,,2026-09-25 00:16:29.692367+00:00
2917,3,Customer.csv,raw.customer_csv,79,C00079,FMT_DATE,date_of_birth,info,normalized,30/11/1975,1975-11-30,,2026-09-25 00:16:29.692367+00:00
2918,3,Customer.csv,raw.customer_csv,79,C00079,FMT_GENDER,gender,info,normalized,MALE,M,,2026-09-25 00:16:29.692367+00:00
2919,3,Customer.csv,raw.customer_csv,79,C00079,FMT_PROVINCE,province,info,normalized,saskatchewan,SK,,2026-09-25 00:16:29.692367+00:00
2920,3,Customer.csv,raw.customer_csv,79,C00079,FMT_POSTAL,postal_code,info,normalized,s3a8a5,S3A 8A5,,2026-09-25 00:16:29.692367+00:00
2921,3,Customer.csv,raw.customer_csv,79,C00079,FMT_PHONE,phone,info,normalized,(474) 555-8212,+14745558212,,2026-09-25 00:16:29.692367+00:00
2922,3,Customer.csv,raw.customer_csv,79,C00079,FMT_TEXT_WHITESPACE,first_name,info,normalized,DOUGLAS ,Douglas,,2026-09-25 00:16:29.692367+00:00
2923,3,Customer.csv,raw.customer_csv,86,C00086,FMT_DATE,date_of_birth,info,normalized,24/11/1994,1994-11-24,,2026-09-25 00:16:29.692367+00:00
2924,3,Customer.csv,raw.customer_csv,101,C00101,FMT_GENDER,gender,info,normalized,Female,F,,2026-09-25 00:16:29.692367+00:00
2925,3,Customer.csv,raw.customer_csv,101,C00101,FMT_POSTAL,postal_code,info,normalized,b0a6a3,B0A 6A3,,2026-09-25 00:16:29.692367+00:00
2926,3,Customer.csv,raw.customer_csv,101,C00101,FMT_PHONE,phone,info,normalized,(902) 555-6516,+19025556516,,2026-09-25 00:16:29.692367+00:00
2927,3,Customer.csv,raw.customer_csv,101,C00101,FMT_TEXT_WHITESPACE,first_name,info,normalized,HANNAH ,Hannah,,2026-09-25 00:16:29.692367+00:00
2928,3,Customer.csv,raw.customer_csv,105,C00105,FMT_POSTAL,postal_code,info,normalized,s8a1a6,S8A 1A6,,2026-09-25 00:16:29.692367+00:00
2929,3,Customer.csv,raw.customer_csv,105,C00105,FMT_PHONE,phone,info,normalized,(474) 555-2145,+14745552145,,2026-09-25 00:16:29.692367+00:00
2930,3,Customer.csv,raw.customer_csv,115,C00115,FMT_DATE,date_of_birth,info,normalized,17/04/1944,1944-04-17,,2026-09-25 00:16:29.692367+00:00
2931,3,Customer.csv,raw.customer_csv,115,C00115,FMT_GENDER,gender,info,normalized,Female,F,,2026-09-25 00:16:29.692367+00:00
2932,3,Customer.csv,raw.customer_csv,115,C00115,FMT_PROVINCE,province,info,normalized,british columbia,BC,,2026-09-25 00:16:29.692367+00:00
2933,3,Customer.csv,raw.customer_csv,115,C00115,FMT_POSTAL,postal_code,info,normalized,v4a1a2,V4A 1A2,,2026-09-25 00:16:29.692367+00:00
2934,3,Customer.csv,raw.customer_csv,128,C00128,FMT_GENDER,gender,info,normalized,Female,F,,2026-09-25 00:16:29.692367+00:00
2935,3,Customer.csv,raw.customer_csv,128,C00128,FMT_PROVINCE,province,info,normalized,Alta.,AB,,2026-09-25 00:16:29.692367+00:00
2936,3,Customer.csv,raw.customer_csv,138,C00138,FMT_DATE,date_of_birth,info,normalized,24/07/1986,1986-07-24,,2026-09-25 00:16:29.692367+00:00
2937,3,Customer.csv,raw.customer_csv,138,C00138,FMT_POSTAL,postal_code,info,normalized,t1a9a2,T1A 9A2,,2026-09-25 00:16:29.692367+00:00
2938,3,Customer.csv,raw.customer_csv,138,C00138,FMT_PHONE,phone,info,normalized,(780) 555-8935,+17805558935,,2026-09-25 00:16:29.692367+00:00
2939,3,Customer.csv,raw.customer_csv,138,C00138,FMT_TEXT_WHITESPACE,first_name,info,normalized,TONI ,Toni,,2026-09-25 00:16:29.692367+00:00
2940,3,Customer.csv,raw.customer_csv,21,C00021,INV_AGE,date_of_birth,error,flagged,2030-01-01,2030-01-01,{'reason': 'sentinel or future DOB'},2026-09-25 00:16:29.692367+00:00
2941,3,Customer.csv,raw.customer_csv,22,C00022,INV_AGE,date_of_birth,error,flagged,1900-01-01,1900-01-01,{'reason': 'sentinel or future DOB'},2026-09-25 00:16:29.692367+00:00
2942,3,Customer.csv,raw.customer_csv,23,C00023,MISS_ERROR,date_of_birth,error,flagged,,,{'reason': 'required source DOB is missing'},2026-09-25 00:16:29.692367+00:00
2943,3,Customer.csv,raw.customer_csv,24,C00024,MISS_ERROR,date_of_birth,error,flagged,,,{'reason': 'required source DOB is missing'},2026-09-25 00:16:29.692367+00:00
2944,3,Customer.csv,raw.customer_csv,25,C00025,MISS_ERROR,province,error,repaired,,MB,{'recovered_from_postal_code': True},2026-09-25 00:16:29.692367+00:00
2945,3,Customer.csv,raw.customer_csv,26,C00026,MISS_ERROR,province,error,repaired,,SK,{'recovered_from_postal_code': True},2026-09-25 00:16:29.692367+00:00
2946,3,Customer.csv,raw.customer_csv,155,C00155,INV_UNSERVED_PROVINCE,province,error,quarantined,QC,QC,{'reason': 'province is outside the served-province domain'},2026-09-25 00:16:29.692367+00:00
2947,3,Customer.csv,raw.customer_csv,156,C00156,INV_UNSERVED_PROVINCE,province,error,quarantined,NB,NB,{'reason': 'province is outside the served-province domain'},2026-09-25 00:16:29.692367+00:00
2948,3,Customer.csv,raw.customer_csv,157,C00157,INV_UNSERVED_PROVINCE,province,error,quarantined,NU,NU,{'reason': 'province is outside the served-province domain'},2026-09-25 00:16:29.692367+00:00
2949,3,Customer.csv,raw.customer_csv,151,C00151,DUP_ENTITY,customer_id,warning,deduplicated,C00151,C00001,"{'resolution': 'high_confidence_match_with_invalid_dob', 'survivor_customer_id': 'C00001'}",2026-09-25 00:16:29.692367+00:00
2950,3,Customer.csv,raw.customer_csv,152,C00152,DUP_ENTITY,customer_id,warning,deduplicated,C00152,C00002,"{'resolution': 'normalized_identity_key', 'survivor_customer_id': 'C00002'}",2026-09-25 00:16:29.692367+00:00
2951,3,Customer.csv,raw.customer_csv,153,C00153,DUP_ENTITY,customer_id,warning,deduplicated,C00153,C00003,"{'resolution': 'normalized_identity_key', 'survivor_customer_id': 'C00003'}",2026-09-25 00:16:29.692367+00:00
2952,3,Customer.csv,raw.customer_csv,154,C00154,DUP_ENTITY,customer_id,warning,deduplicated,C00154,C00004,"{'resolution': 'normalized_identity_key', 'survivor_customer_id': 'C00004'}",2026-09-25 00:16:29.692367+00:00
2953,3,Policy.csv,raw.policy_csv,5,P00005,FMT_CATEGORY_CASE,policy_type,info,normalized,Health ,health,,2026-09-25 00:16:29.692367+00:00
2954,3,Policy.csv,raw.policy_csv,15,P00015,FMT_CATEGORY_CASE,policy_type,info,normalized,Health ,health,,2026-09-25 00:16:29.692367+00:00
2955,3,Policy.csv,raw.policy_csv,47,P00047,FMT_CATEGORY_CASE,policy_type,info,normalized,Dental ,dental,,2026-09-25 00:16:29.692367+00:00
2956,3,Policy.csv,raw.policy_csv,62,P00062,FMT_CATEGORY_CASE,policy_type,info,normalized,Health ,health,,2026-09-25 00:16:29.692367+00:00
2957,3,Policy.csv,raw.policy_csv,62,P00062,FMT_DATE,start_date,info,normalized,04/08/2022,2022-04-08,,2026-09-25 00:16:29.692367+00:00
2958,3,Policy.csv,raw.policy_csv,66,P00066,TYPE_AMOUNT_TEXT,coverage_amount,info,normalized,"$2,000.00",2000.00,,2026-09-25 00:16:29.692367+00:00
2959,3,Policy.csv,raw.policy_csv,82,P00082,FMT_DATE,start_date,info,normalized,08/06/2022,2022-08-06,,2026-09-25 00:16:29.692367+00:00
2960,3,Policy.csv,raw.policy_csv,90,P00090,FMT_DATE,start_date,info,normalized,02/22/2024,2024-02-22,,2026-09-25 00:16:29.692367+00:00
2961,3,Policy.csv,raw.policy_csv,100,P00100,FMT_CATEGORY_CASE,policy_type,info,normalized,Health ,health,,2026-09-25 00:16:29.692367+00:00
2962,3,Policy.csv,raw.policy_csv,100,P00100,TYPE_AMOUNT_TEXT,coverage_amount,info,normalized,"$5,000.00",5000.00,,2026-09-25 00:16:29.692367+00:00
2963,3,Policy.csv,raw.policy_csv,105,P00105,TYPE_AMOUNT_TEXT,coverage_amount,info,normalized,"$3,000.00",3000.00,,2026-09-25 00:16:29.692367+00:00
2964,3,Policy.csv,raw.policy_csv,113,P00113,FMT_ID,customer_id,info,normalized,c00039 ,C00039,,2026-09-25 00:16:29.692367+00:00
2965,3,Policy.csv,raw.policy_csv,113,P00113,FMT_CATEGORY_CASE,policy_type,info,normalized,Travel ,travel,,2026-09-25 00:16:29.692367+00:00
2966,3,Policy.csv,raw.policy_csv,113,P00113,FMT_DATE,start_date,info,normalized,10/03/2024,2024-10-03,,2026-09-25 00:16:29.692367+00:00
2967,3,Policy.csv,raw.policy_csv,113,P00113,TYPE_AMOUNT_TEXT,coverage_amount,info,normalized,"$5,000,000.00",5000000.00,,2026-09-25 00:16:29.692367+00:00
2968,3,Policy.csv,raw.policy_csv,125,P00125,FMT_ID,customer_id,info,normalized,c00027 ,C00027,,2026-09-25 00:16:29.692367+00:00
2969,3,Policy.csv,raw.policy_csv,125,P00125,FMT_DATE,start_date,info,normalized,04/25/2023,2023-04-25,,2026-09-25 00:16:29.692367+00:00
2970,3,Policy.csv,raw.policy_csv,125,P00125,TYPE_AMOUNT_TEXT,coverage_amount,info,normalized,"$5,000.00",5000.00,,2026-09-25 00:16:29.692367+00:00
2971,3,Policy.csv,raw.policy_csv,134,P00134,FMT_CATEGORY_CASE,policy_type,info,normalized,Dental ,dental,,2026-09-25 00:16:29.692367+00:00
2972,3,Policy.csv,raw.policy_csv,134,P00134,FMT_DATE,start_date,info,normalized,04/08/2025,2025-04-08,,2026-09-25 00:16:29.692367+00:00
2973,3,Policy.csv,raw.policy_csv,134,P00134,TYPE_AMOUNT_TEXT,coverage_amount,info,normalized,"$1,000.00",1000.00,,2026-09-25 00:16:29.692367+00:00
2974,3,Policy.csv,raw.policy_csv,140,P00140,TYPE_AMOUNT_TEXT,coverage_amount,info,normalized,"$1,000.00",1000.00,,2026-09-25 00:16:29.692367+00:00
2975,3,Policy.csv,raw.policy_csv,152,P00152,FMT_DATE,start_date,info,normalized,04/08/2025,2025-04-08,,2026-09-25 00:16:29.692367+00:00
2976,3,Policy.csv,raw.policy_csv,17,P00017,MISS_ERROR,plan_name,info,repaired,,OmniPlan,,2026-09-25 00:16:29.692367+00:00
2977,3,Policy.csv,raw.policy_csv,18,P00018,MISS_ERROR,plan_name,info,repaired,,BasicPlan,,2026-09-25 00:16:29.692367+00:00
2978,3,Claim.csv,raw.claim_csv,3,D00002,FMT_CATEGORY_CASE,claim_type,info,normalized,Preventive ,preventive,,2026-09-25 00:16:29.692367+00:00
2979,3,Claim.csv,raw.claim_csv,7,D00006,FMT_CATEGORY_CASE,claim_type,info,normalized,Major ,major,,2026-09-25 00:16:29.692367+00:00
2980,3,Claim.csv,raw.claim_csv,7,D00006,FMT_DATE,service_date,info,normalized,18/11/2023,2023-11-18,,2026-09-25 00:16:29.692367+00:00
2981,3,Claim.csv,raw.claim_csv,11,D00010,FMT_DATE,service_date,info,normalized,14/01/2024,2024-01-14,,2026-09-25 00:16:29.692367+00:00
2982,3,Claim.csv,raw.claim_csv,19,H00018,FMT_CATEGORY_CASE,claim_status,info,normalized,Approved ,approved,,2026-09-25 00:16:29.692367+00:00
2983,3,Claim.csv,raw.claim_csv,19,H00018,FMT_PROVINCE,region,info,normalized,p.e.i.,PE,,2026-09-25 00:16:29.692367+00:00
2984,3,Claim.csv,raw.claim_csv,19,H00018,TYPE_AMOUNT_TEXT,claim_amount,info,normalized,$321.73,321.73,,2026-09-25 00:16:29.692367+00:00
2985,3,Claim.csv,raw.claim_csv,21,H00020,FMT_CATEGORY_CASE,claim_status,info,normalized,Approved ,approved,,2026-09-25 00:16:29.692367+00:00
2986,3,Claim.csv,raw.claim_csv,21,H00020,FMT_PROVINCE,region,info,normalized,saskatchewan,SK,,2026-09-25 00:16:29.692367+00:00
2987,3,Claim.csv,raw.claim_csv,21,H00020,TYPE_AMOUNT_TEXT,claim_amount,info,normalized,$49.28,49.28,,2026-09-25 00:16:29.692367+00:00
2988,3,Claim.csv,raw.claim_csv,28,H00027,FMT_ID,policy_id,info,normalized,p00160 ,P00160,,2026-09-25 00:16:29.692367+00:00
2989,3,Claim.csv,raw.claim_csv,28,H00027,FMT_PROVINCE,region,info,normalized,saskatchewan,SK,,2026-09-25 00:16:29.692367+00:00
2990,3,Claim.csv,raw.claim_csv,28,H00027,FMT_DATE,claim_date,info,normalized,05/06/2024,2024-06-05,,2026-09-25 00:16:29.692367+00:00
2991,3,Claim.csv,raw.claim_csv,37,H00036,TYPE_AMOUNT_TEXT,approved_amount,info,normalized,$205.60,205.60,,2026-09-25 00:16:29.692367+00:00
2992,3,Claim.csv,raw.claim_csv,38,T00037,FMT_CATEGORY_CASE,claim_status,info,normalized,Approved ,approved,,2026-09-25 00:16:29.692367+00:00
2993,3,Claim.csv,raw.claim_csv,38,T00037,FMT_PROVINCE,region,info,normalized,Alta.,AB,,2026-09-25 00:16:29.692367+00:00
2994,3,Claim.csv,raw.claim_csv,38,T00037,FMT_DATE,claim_date,info,normalized,28/09/2024,2024-09-28,,2026-09-25 00:16:29.692367+00:00
2995,3,Claim.csv,raw.claim_csv,75,D00074,FMT_CATEGORY_CASE,claim_status,info,normalized,Approved ,approved,,2026-09-25 00:16:29.692367+00:00
2996,3,Claim.csv,raw.claim_csv,76,H00075,FMT_PROVINCE,region,info,normalized,Alta.,AB,,2026-09-25 00:16:29.692367+00:00
2997,3,Claim.csv,raw.claim_csv,76,H00075,FMT_DATE,service_date,info,normalized,22/04/2025,2025-04-22,,2026-09-25 00:16:29.692367+00:00
2998,3,Claim.csv,raw.claim_csv,80,D00079,FMT_ID,policy_id,info,normalized,p00022 ,P00022,,2026-09-25 00:16:29.692367+00:00
